	AL	G1	G2	G3	max	long_title
age	26.56740491581009	7.512523102871377			26.56740491581009	AGE
Z7901	23.78991916067706	5.638752684293026	6.694343018481989	5.720830917292324	23.78991916067706	Long term (current) use of anticoagulants
I4891	19.328913097335963	4.099994768106462	6.280479312398763	2.5887397881737795	19.328913097335963	Unspecified atrial fibrillation
I2510	17.83373639394961	2.7759045815186534	10.440100831184568		17.83373639394961	Atherosclerotic heart disease of native coronary artery without angina pectoris
I739	16.727425847548858		8.674742821575482	3.1939423482307445	16.727425847548858	Peripheral vascular disease, unspecified
J449	13.20475752885019	6.900358370560599	5.998060538670221		13.20475752885019	Chronic obstructive pulmonary disease, unspecified
Z794	9.818959529386055	3.803211653289258	6.8878777609168145	2.6324999538939573	9.818959529386055	Long term (current) use of insulin
I350	9.236601535644052			3.00476371340722	9.236601535644052	Nonrheumatic aortic (valve) stenosis
Z87891	8.520829389805956		4.547936815360225		8.520829389805956	Personal history of nicotine dependence
E875	6.415642609196771	5.228229848263459	3.3982439946742407		6.415642609196771	Hyperkalemia
I480	6.262095896542328	3.555106585640385			6.262095896542328	Paroxysmal atrial fibrillation
I252	5.835495109836976		6.181097485899444		6.181097485899444	Old myocardial infarction
I214	5.552289737954892	5.0727114649688945	2.6790523188402875		5.552289737954892	Non-ST elevation (NSTEMI) myocardial infarction
Z7902	5.333358626685267	2.8081050938079097	2.1649218995212265		5.333358626685267	Long term (current) use of antithrombotics/antiplatelets
Z951	5.32703895148351		3.7352075393124147		5.32703895148351	Presence of aortocoronary bypass graft
Z8673	2.830162675777435	4.844774699360813			4.844774699360813	Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits
E669	2.474203791639398		4.643833526542965		4.643833526542965	Obesity, unspecified
J189	4.16701058881838	3.6079887726963613			4.16701058881838	Pneumonia, unspecified organism
F329		3.588011603460961			3.588011603460961	Major depressive disorder, single episode, unspecified
E1165	3.49542501314345	2.320194150647347			3.49542501314345	Type 2 diabetes mellitus with hyperglycemia
E785	2.855149732079421	3.2455994452139802			3.2455994452139802	Hyperlipidemia, unspecified
E039	2.8156695713945803				2.8156695713945803	Hypothyroidism, unspecified
N179	2.813719793654573	2.23426388556944	2.263302037454412		2.813719793654573	Acute kidney failure, unspecified
Z955		2.5901365867803943			2.5901365867803943	Presence of coronary angioplasty implant and graft
F17210		2.510901633585049			2.510901633585049	Nicotine dependence, cigarettes, uncomplicated
J45909		2.231363656084096			2.231363656084096	Unspecified asthma, uncomplicated
N400	2.2015244184610956				2.2015244184610956	Benign prostatic hyperplasia without lower urinary tract symptoms
M109	2.1183759784288227				2.1183759784288227	Gout, unspecified
