	ICD-9	AL	G1	G2	G3	max	ICD-10	long_title (ICD-10)
0	age	115.05084758464633	10.258016703597065	9.429464168199631	2.85982321846277	115.05084758464633	age	age
1	42731	75.5870971024912	20.781801588219867	11.225282169738716	11.786816766790587	75.5870971024912	I4891	Unspecified atrial fibrillation
2	V4581	39.66939287417517	9.639947448573063	9.596420110353568	7.2189538670168245	39.66939287417517	Z951	Presence of aortocoronary bypass graft
3	41401	37.35549132726648	16.016615909839427	9.030255447962544	5.695850637680223	37.35549132726648	I2510	Atherosclerotic heart disease of native coronary artery without angina pectoris
4	4241	25.945829795300703		3.059992602160521	6.465751393307447	25.945829795300703	I350	Nonrheumatic aortic (valve) stenosis
5	412	20.301733933537005	5.742193558074541	7.37566422832519	3.26686614544623	20.301733933537005	I252	Old myocardial infarction
6	V4582	20.173575612890232	3.845650083139212	5.735594771561886	6.2343838156272025	20.173575612890232	Z9861	Coronary angioplasty status
7	V5861	13.772321641039593	4.977054454554536	4.788472327761851		13.772321641039593	Z7901	Long term (current) use of anticoagulants
8	3572		13.738136830005505	3.748414526310095		13.738136830005505	E0842	Diabetes mellitus due to underlying condition with diabetic polyneuropathy
9	5849	11.130750115618275	2.57713400618684	4.809861774698048		11.130750115618275	N179	Acute kidney failure, unspecified
10	496	10.533043232919985	2.180730797889519	3.3565680556598174		10.533043232919985	J449	Chronic obstructive pulmonary disease, unspecified
11	25000	9.89673748770409	4.548514937805638	6.898246088625151		9.89673748770409	E119	Type 2 diabetes mellitus without complications
12	2724	8.62154293658697	4.299289235770014			8.62154293658697	E785	Hyperlipidemia, unspecified
13	V5867	7.370004393174	6.830353693153412	7.707866387194456		7.707866387194456	Z794	Long term (current) use of insulin
14	73300	6.287159930249813				6.287159930249813	M810	Age-related osteoporosis without current pathological fracture
15	2859	5.880861974691795				5.880861974691795	D649	Anemia, unspecified
16	V103	5.086383510907442				5.086383510907442	Z853	Personal history of malignant neoplasm of breast
17	2449	4.597648405504713				4.597648405504713	E039	Hypothyroidism, unspecified
18	71590	4.587411106467265				4.587411106467265	M1990	Unspecified osteoarthritis, unspecified site
19	486	4.375126949162698	2.7349904303649577			4.375126949162698	J189	Pneumonia, unspecified organism
20	27801		3.7973462556433795			3.7973462556433795	E6601	Morbid (severe) obesity due to excess calories
21	2749	3.522511485481416				3.522511485481416	M109	Gout, unspecified
22	32723		3.4976569703530345			3.4976569703530345	G4733	Obstructive sleep apnea (adult) (pediatric)
23	07054		3.4578338517050864			3.4578338517050864	B182	Chronic viral hepatitis C
24	2720	2.5619845386994924	2.9483079163419754			2.9483079163419754	E7800	Pure hypercholesterolemia, unspecified
25	V1254	2.776579857287215	2.3734066638769935			2.776579857287215	Z8673	Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits
26	53081	2.6591722605134787				2.6591722605134787	K219	Gastro-esophageal reflux disease without esophagitis
27	2761		2.5560300022162923			2.5560300022162923	E871	Hypo-osmolality and hyponatremia
28	60000	2.4274541336015725				2.4274541336015725	N400	Benign prostatic hyperplasia without lower urinary tract symptoms
29	27651	2.2398107329262813				2.2398107329262813	E860	Dehydration
30	30000	2.2324002328855883				2.2324002328855883	F419	Anxiety disorder, unspecified
31	3004		2.0660020745768444			2.0660020745768444	F341	Dysthymic disorder
32	3051			2.0069159362270255		2.0069159362270255	F17200	Nicotine dependence, unspecified, uncomplicated
