icd9	icd10
42731	I48.91
V4581	Z95.1
41401	I25.10
4241	"I35.0,I35.1,I35.2,I35.8,I35.9"
41400	I25.10
412	I25.2
V4582	Z98.61
V5861	Z79.01
3572	"E08.42,E09.42,E10.42,E11.42,E13.42"
25060	E11.40
5849	N17.9
496	J44.9
25000	E11.9
2724	"E78.4,E78.5"
V5867	Z79.4
73300	M81.0
2859	D64.9
V103	Z85.3
2449	E03.9
71590	"M19.90,M15.9"
486	J18.9
27801	E66.01
2749	M10.9
32723	G47.33
07054	B18.2
2720	"E78.00,E78.01"
V1254	Z86.73
53081	K21.9
2761	E87.1
60000	N40.0
27651	E86.0
30000	F41.9
3004	F34.1
3051	F17.200
age	age
H_age	age
2851	D62
3659	H40.9
5990	N39.0
V1251	Z86.718
V1582	Z87.891
V4364	Z96.649
V5866	Z79.82
27800	E66.9
311	F32.9
