	ICD-10	AL	G1	G2	G3	max	long_title (ICD-10)
0	Z7901	0.04354714913666248	0.03576935011148453	0.036863519384525714	0.03922490474395454	0.04354714913666248	Long term (current) use of anticoagulants
1	I739	0.03864194058673456		0.036770386360120026	0.03528573654172942	0.03864194058673456	Peripheral vascular disease, unspecified
2	J449	0.038088364612311125	0.0379953174921684	0.03520685231219977	0.027633124060928823	0.038088364612311125	Chronic obstructive pulmonary disease, unspecified
3	Z794	0.03674041715636849	0.03069679934810847	0.03447941047232598	0.03307427152711898	0.03674041715636849	Long term (current) use of insulin
4	I2510	0.02821603612601757		0.035478224029764534	0.028281475306488574	0.035478224029764534	Atherosclerotic heart disease of native coronary artery without angina pectoris
5	I350				0.03542217184975743	0.03542217184975743	Nonrheumatic aortic (valve) stenosis
6	E875	0.03062396809179336	0.03474998079938814	0.02937333305971697		0.03474998079938814	Hyperkalemia
7	E669	0.027085046616382898		0.03344168354012072		0.03344168354012072	Obesity, unspecified
8	F0390				0.031943319632671774	0.031943319632671774	Unspecified dementia without behavioral disturbance
9	N179		0.03155752460472286		0.027415390550158916	0.03155752460472286	Acute kidney failure, unspecified
10	I214	0.028459421960636975	0.0312692272166023			0.0312692272166023	Non-ST elevation (NSTEMI) myocardial infarction
11	I252	0.026786628457717596		0.03088526431936771		0.03088526431936771	Old myocardial infarction
12	I4891	0.028956205090507864	0.026555333755910397	0.030821627111174168	0.027429535922594367	0.030821627111174168	Unspecified atrial fibrillation
13	J189	0.03052953879069537	0.03041008328727912		0.026153677325230093	0.03052953879069537	Pneumonia, unspecified organism
14	Z8673	0.02581349309813231	0.03031200045160949		0.029470201545394956	0.03031200045160949	Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits
15	Z7902		0.025985154217109084		0.029315102781169118	0.029315102781169118	Long term (current) use of antithrombotics/antiplatelets
16	M109				0.02897708657803014	0.02897708657803014	Gout, unspecified
17	F17210	0.025924083476886153	0.026444324805401265	0.028787469630129636		0.028787469630129636	Nicotine dependence, cigarettes, uncomplicated
18	I480		0.028650510752457194		0.025631117288954557	0.028650510752457194	Paroxysmal atrial fibrillation
19	E871				0.028273127977270635	0.028273127977270635	Hypo-osmolality and hyponatremia
20	J45909		0.028137025556061415			0.028137025556061415	Unspecified asthma, uncomplicated
21	D649		0.026745830579195173		0.026954121560789645	0.026954121560789645	Anemia, unspecified
22	E039				0.026928813573904337	0.026928813573904337	Hypothyroidism, unspecified
23	E7800				0.02675494745420292	0.02675494745420292	Pure hypercholesterolemia, unspecified
24	N400			0.026414784213062377		0.026414784213062377	Benign prostatic hyperplasia without lower urinary tract symptoms
25	E119				0.026364265388809146	0.026364265388809146	Type 2 diabetes mellitus without complications
26	K219				0.025931605379097163	0.025931605379097163	Gastro-esophageal reflux disease without esophagitis
27	N390				0.02573914657719433	0.02573914657719433	Urinary tract infection, site not specified
28	Z950				0.025497239521238953	0.025497239521238953	Presence of cardiac pacemaker
