	ICD-9	AL	G1	G2	G3	max	ICD-10	long_title (ICD-10)
0	42731	0.04862954942509532	0.06233310723118484	0.03750691737793386	0.03032167924195528	0.06233310723118484	I4891	Unspecified atrial fibrillation
1	41401	0.04019493631273508	0.052535133123397824	0.03165125447884202	0.027184421034529806	0.052535133123397824	I2510	Atherosclerotic heart disease of native coronary artery without angina pectoris
2	3572		0.05149087253259495	0.026392601439729334		0.05149087253259495	E0842	Diabetes mellitus due to underlying condition with diabetic polyneuropathy
3	V4581	0.04618258302193135	0.05003060159273445	0.038530479850713166	0.035342759849503635	0.05003060159273445	Z951	Presence of aortocoronary bypass graft
4	4241	0.0411382688973099		0.02549315627431497	0.0423522861469537	0.0423522861469537	I350	Nonrheumatic aortic (valve) stenosis
5	V5867	0.037785275796428326	0.03713382673729211	0.038432713360525665		0.038432713360525665	Z794	Long term (current) use of insulin
6	27801		0.03645798244420439			0.03645798244420439	E6601	Morbid (severe) obesity due to excess calories
7	07054		0.035601733073592184			0.035601733073592184	B182	Chronic viral hepatitis C
8	V4582			0.026157170886173843	0.03289323526062071	0.03289323526062071	Z9861	Coronary angioplasty status
9	3051			0.032788567004725336		0.032788567004725336	F17200	Nicotine dependence, unspecified, uncomplicated
10	5849	0.02566145081166178	0.02932410986442119	0.032015134125947954	0.025808931074105205	0.032015134125947954	N179	Acute kidney failure, unspecified
11	412	0.02755496227927506		0.031653957742266356		0.031653957742266356	I252	Old myocardial infarction
12	2859			0.031595882304944096	0.026513763357885183	0.031595882304944096	D649	Anemia, unspecified
13	V5866	0.03156508955731988		0.030284144033677875		0.03156508955731988	Z7982	Long term (current) use of aspirin
14	V1251			0.0309169945968315		0.0309169945968315	Z86718	Personal history of other venous thrombosis and embolism
15	496	0.029111999278888107		0.030129665040411056	0.027615976008586587	0.030129665040411056	J449	Chronic obstructive pulmonary disease, unspecified
16	2720		0.02990366078261286	0.0251239831475541	0.025881194343790413	0.02990366078261286	E7800	Pure hypercholesterolemia, unspecified
17	H_age	0.029765496157109737				0.029765496157109737	age	age
18	V4364				0.02929250242281705	0.02929250242281705	Z96649	Presence of unspecified artificial hip joint
19	V5861				0.028990639876574277	0.028990639876574277	Z7901	Long term (current) use of anticoagulants
20	V1582			0.026538835180923342	0.02884106672834605	0.02884106672834605	Z87891	Personal history of nicotine dependence
21	2749			0.028027369571849703		0.028027369571849703	M109	Gout, unspecified
22	3659				0.027990024163387715	0.027990024163387715	H409	Unspecified glaucoma
23	5990			0.027269538439810274	0.02612496113963425	0.027269538439810274	N390	Urinary tract infection, site not specified
24	73300				0.026730073504149913	0.026730073504149913	M810	Age-related osteoporosis without current pathological fracture
25	2449			0.02668094198498875	0.025191339291632177	0.02668094198498875	E039	Hypothyroidism, unspecified
26	27651				0.026586783644277603	0.026586783644277603	E860	Dehydration
27	25000			0.025664989654906094	0.026522075369954108	0.026522075369954108	E119	Type 2 diabetes mellitus without complications
28	2851	0.02646935918740928			0.02603056493960321	0.02646935918740928	D62	Acute posthemorrhagic anemia
29	32723		0.026454533255659045			0.026454533255659045	G4733	Obstructive sleep apnea (adult) (pediatric)
30	71590				0.026305960090830922	0.026305960090830922	M1990	Unspecified osteoarthritis, unspecified site
31	486		0.026241780668497087			0.026241780668497087	J189	Pneumonia, unspecified organism
32	V1254				0.02617136547435075	0.02617136547435075	Z8673	Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits
33	311				0.025755747576244176	0.025755747576244176	F329	Major depressive disorder, single episode, unspecified
34	27800			0.025699575022794307		0.025699575022794307	E669	Obesity, unspecified
35	V103			0.025573380892630667		0.025573380892630667	Z853	Personal history of malignant neoplasm of breast
